year,nominee,studio,oscar,annie,globe,bafta,annie_ind
2019,I Lost My Body,Other,1,0,0,0,2
2019,Klaus,Netflix,1,2,0,2,0
2019,Missing Link,Laika,1,1,2,0,0
2019,On-Gaku: Our Sound,Other,0,0,0,0,1
2019,Promare,Other,0,0,0,0,1
2019,Ride Your Wave,Other,0,0,0,0,1
2019,The Lion King,Disney,0,0,1,0,0
2019,Toy Story 4,Pixar,2,1,1,1,0
2019,Weathering with You,CoMix Wave Films,0,0,0,0,1
2020,Calamity Jane,Other,0,0,0,0,1
2020,Onward,Pixar,1,1,1,1,0
2020,Over the Moon,Netflix,1,0,1,0,0
2020,Soul,Pixar,2,2,2,2,0
2020,The Croods: A New Age,DreamWorks,0,1,1,0,0
2020,The Willoughbys,Netflix,0,1,0,0,0
2020,Trolls World Tour,DreamWorks,0,1,0,0,0
2020,Wolfwalkers,Cartoon Saloon,1,0,1,1,2
2021,Belle,Studio Chizu,0,0,0,0,1
2021,Encanto,Disney,2,1,2,2,0
2021,Flee,Other,1,0,1,1,2
2021,Fortune Favors Lady Nikuko,Other,0,0,0,0,1
2021,Luca,Pixar,1,1,1,1,0
2021,My Sunny Maad,Other,0,0,1,0,0
2021,Pompo the Cinephile,Other,0,0,0,0,1
2021,Raya and the Last Dragon,Disney,1,1,1,0,0
2021,Sing 2,Illumination,0,1,0,0,0
2021,The Mitchells vs. the Machines,Sony,1,2,0,1,0
2021,The Summit of the Gods,Other,0,0,0,0,1
2022,Charlotte,Other,0,0,0,0,1
2022,Guillermo del Toro's Pinocchio,Netflix,2,2,2,2,0
2022,Inu-Oh,Other,0,0,1,0,1
2022,"Little Nicholas, Happy As Can Be",Other,0,0,0,0,1
2022,Marcel the Shell with Shoes On,Other,1,0,1,1,2
2022,My Father's Dragon,Cartoon Saloon,0,0,0,0,1
2022,Puss in Boots: The Last Wish,DreamWorks,1,1,1,1,0
2022,The Sea Beast,Netflix,1,1,0,0,0
2022,Turning Red,Pixar,1,1,1,1,0
2022,Wendell & Wild,Netflix,0,1,0,0,0
